city,state,zip,county,homeValue
Greensboro,NC,27407,Guilford County,185332
Madison,WI,53711,Dane County,383545
Dallas,TX,75204,Dallas County,431253
Jersey City,NJ,7305,Hudson County,426638
North Bergen Township,NJ,7047,Hudson County,448457
Los Angeles,CA,90036,Los Angeles County,1971220
San Francisco,CA,94112,San Francisco County,1279762
Greenacres,FL,33463,Palm Beach County,305900
Little Elm,TX,75068,Denton County,354549
Fort Worth,TX,76137,Tarrant County,277340
Las Vegas,NV,89147,Clark County,348353
Austin,TX,78759,Travis County,737571
Loveland,OH,45140,Clermont County,332456
Concord,NC,28025,Cabarrus County,266265
Sunnyvale,CA,94087,Santa Clara County,2391581
Raleigh,NC,27603,Wake County,329687
Roswell,GA,30075,Fulton County,538745
Revere,MA,2151,Suffolk County,506451
Hillsboro,OR,97124,Washington County,501128
New York,NY,10014,New York County,1208726
San Jose,CA,95125,Santa Clara County,1624902
Olive Branch,MS,38654,DeSoto County,275823
Montebello,CA,90640,Los Angeles County,661592
McKinney,TX,75071,Collin County,436529
Boynton Beach,FL,33436,Palm Beach County,338161
Seattle,WA,98109,King County,830309
Pittsfield,MA,1201,Berkshire County,230134
Boise,ID,83709,Ada County,485437
Saint Charles,MO,63301,Saint Charles County,246774
Franklin Township,NJ,8873,Somerset County,410390
Silver Spring,MD,20904,Montgomery County,521469
New Haven,CT,6511,New Haven County,263340
Newark,DE,19702,New Castle County,283815
Kirkland,WA,98034,King County,862301
Grapevine,TX,76051,Tarrant County,444014
La Crosse,WI,54601,La Crosse County,207389
Port Richey,FL,34668,Pasco County,176325
Kyle,TX,78640,Hays County,320144
Murrieta,CA,92562,Riverside County,593890
Honolulu,HI,96815,Honolulu County,481380
Philadelphia,PA,19131,Philadelphia County,174410
Middletown,CT,6457,Middlesex County,256801
Taunton,MA,2780,Bristol County,398876
Manheim Township,PA,17601,Lancaster County,318048
Newark,DE,19711,New Castle County,342896
Garner,NC,27529,Wake County,303976
Jeffersonville,IN,47130,Clark County,196146
Horizon City,TX,79928,El Paso County,185667
Jackson Township,NJ,8527,Ocean County,454514
Woodbridge,VA,22192,Prince William County,441964
Miami Beach,FL,33141,Miami-Dade County,298938
Arlington,VA,22201,Arlington County,709163
Marietta,GA,30067,Cobb County,353887
Canton,GA,30114,Cherokee County,354912
Billings,MT,59102,Yellowstone County,289481
Arlington Heights,IL,60004,Cook County,396796
Mason,OH,45040,Warren County,359251
Clinton,MI,48038,Macomb County,255561
San Diego,CA,92117,San Diego County,921187
Jersey City,NJ,7306,Hudson County,502072
Plantation,FL,33324,Broward County,284691
Mesa,AZ,85201,Maricopa County,305107
San Antonio,TX,78209,Bexar County,457299
Sunnyvale,CA,94086,Santa Clara County,1799015
Palm Coast,FL,32137,Flagler County,335181
Winston-Salem,NC,27106,Forsyth County,247220
Marion,OH,43302,Marion County,102997
Huntington,NY,11746,Suffolk County,714934
Longmont,CO,80504,Boulder County,533714
San Pablo,CA,94806,Contra Costa County,603793
New York,NY,10451,New York County,280429
Doral,FL,33178,Miami-Dade County,382007
Philadelphia,PA,19144,Philadelphia County,197850
Midlothian,VA,23112,Chesterfield County,334999
Roseville,MI,48066,Macomb County,146286
San Diego,CA,92128,San Diego County,844520
Denver,CO,80219,Denver County,432208
Hollywood,FL,33021,Broward County,349276
Conway,AR,72034,Faulkner County,208159
Vallejo,CA,94591,Solano County,595934
Alhambra,CA,91801,Los Angeles County,797556
Leesburg,FL,34748,Lake County,223942
Columbia,SC,29229,Richland County,204086
West Chester,PA,19380,Chester County,485197
